,ax,ay,az,gx,gy,gz,time
-2680,-64,16480,-747,5097,-1124
-2992,-232,16144,-644,5588,-1143
-3168,-432,15976,-356,6190,-1306
-3584,-248,16120,403,6776,-1598
-4096,-320,16440,590,6487,-1308
-4584,-64,16720,43,5805,-1249
-4616,24,16232,-403,5447,-1320
-4984,-8,15960,-248,4889,-1124
-5240,-224,15888,-266,4047,-569
-5312,-360,15560,-343,3927,-535
-5824,-416,15224,-575,4064,29
-5824,-496,14808,-94,4644,-694
-6328,-496,14848,232,5528,-542
-6752,-536,15112,588,4822,-233
-7160,-560,15280,541,4991,-709
-7208,-296,15272,-467,4872,-251
-7272,-320,14728,-609,5522,-937
-7912,-256,14376,-273,5844,-155
-8104,-336,14560,-364,5272,76
-8544,-944,14848,-246,4474,277
-8928,-392,14512,-415,3513,292
-8968,-488,14168,-88,2866,380
-9264,-384,13872,-391,3777,285
-9464,-560,13504,-107,4423,-206
-9456,-576,13704,583,4773,79
-9704,-416,13864,698,4436,178
-10376,-312,13896,167,4261,-11
-10200,-528,13544,-316,4240,154
-10464,-440,13448,-485,3212,160
-10488,-152,13024,-416,2865,266
-10512,-448,12672,-766,2806,454
-10832,-528,12440,-458,2644,224
-11064,-792,12544,-236,2345,220
-10960,-552,12296,-615,2399,-163
-10968,-464,12176,-150,2504,-210
-11072,-696,12240,84,2334,-378
-10984,-360,12400,-731,2221,-48
-11280,-488,12112,-749,1827,648
-11424,-672,11736,-826,739,861
-11872,-872,11856,-537,-173,1123
-11456,-1048,11600,-203,-1378,404
-11248,-840,11720,-164,-2182,354
-11176,-400,12192,20,-3802,86
-10592,-432,12368,-105,-4354,433
-10656,-440,12672,-712,-4582,703
-10128,-368,12152,-913,-5106,582
-10240,-416,12472,-173,-6053,1189
-10048,-552,12912,97,-7399,915
-9520,-752,13784,123,-6622,1087
-9248,-592,14104,-658,-6665,1006
-8960,-616,13856,98,-7103,1089
-8360,-928,14272,894,-6530,505
-7968,-448,15016,994,-5943,122
-7496,-472,15736,466,-6140,575
-7040,-80,15920,431,-7202,431
-6336,-200,16048,9,-7322,478
-6248,-232,15976,-202,-7557,1412
-5512,-432,16240,-254,-7924,1603
-5288,-504,15928,-34,-8711,1454
-4464,-272,16048,412,-9944,1172
-3696,-136,16272,198,-9209,1522
-3464,-208,16128,436,-8955,1721
-2248,48,16176,949,-9320,1735
-2336,416,16344,1260,-9809,2048
-1720,464,16656,1946,-9448,2391
-1624,248,17264,1630,-8495,1965
-840,592,17576,772,-8041,1605
-464,376,17184,350,-7460,1116
504,248,16944,624,-6989,1042
920,896,16896,1235,-7607,1620
1336,816,16872,1095,-7009,1991
1496,800,16592,575,-6852,1248
1984,592,15800,777,-6956,1126
2288,360,15376,1610,-6438,723
2688,376,15640,1306,-5333,-742
3176,736,15944,1277,-4398,-1542
3744,1056,16200,1118,-4714,-1269
4328,1688,16064,363,-4056,-1617
4912,1392,16152,430,-3817,-791
4760,1496,16416,629,-3896,-590
5040,1448,16272,445,-3776,-1542
5408,1752,16184,425,-3701,-451
5496,1696,15928,-23,-2532,-164
5256,1312,15904,63,-2782,-120
5632,1560,15536,319,-3482,-291
6256,1696,15552,155,-3529,-308
6256,1464,15272,611,-4758,57
6848,1912,15456,739,-6692,905
7176,1560,15256,484,-6939,1508
7656,1496,14848,253,-6237,1042
7904,1352,14112,-340,-5535,1022
8280,1536,14064,416,-4416,1055
8480,1392,14360,1250,-4433,1170
8784,1320,14200,601,-4611,606
9064,1624,14096,-640,-4072,636
9264,1384,13432,-820,-3618,549
9464,1136,13200,-171,-3311,967
9784,1192,13352,-34,-2787,736
9968,1264,13264,-19,-3073,776
9896,1536,13136,-211,-3187,784
10192,1192,13176,-93,-2526,1100
10128,1328,13144,-454,-1943,882
10208,1104,12720,-882,-1169,558
10176,856,12840,-336,-640,940
10080,624,12856,-346,-1503,310
10392,752,12856,-16,-1353,-141
10568,784,12632,-80,-2986,-275
10904,1056,11840,-46,-2323,58
10880,664,11944,-1232,1455,-70
10712,512,12048,-1172,3604,8
10272,448,12648,-1309,3310,-490
9904,696,12976,-560,738,-582
10240,976,12800,-665,1362,-732
10808,904,12784,-2570,5975,-1331
9968,720,13552,-3013,6626,-1175
9528,664,13160,-2296,5798,-1363
9416,336,13584,-1366,6875,-1215
8960,480,14544,-3318,9559,-1633
7976,152,14424,-3381,7491,-1139
7544,-80,13528,-1178,4694,-731
8168,40,14280,709,4979,-1063
7280,632,15024,-435,4948,-983
7392,280,14664,-528,6664,-535
6640,-80,15272,-894,8643,-719
5384,488,15184,40,7097,-471
5072,-144,15736,1223,8373,-682
4744,232,16456,581,8773,-1245
4144,168,16744,597,8804,-1731
3760,920,16000,293,7092,-1424
